;foto;localizacao;nome
185;./Mulheres Palestrantes_files/placeholder-female.jpg;Joinville/SC;Karina Martins
186;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Karla Patriota Bronsztein
187;./Mulheres Palestrantes_files/3bae151.jpg;Recife/PE;Kathlen Amado
188;./Mulheres Palestrantes_files/82810bb4e5c8a9caecda9f48ed285ffc.jpeg;Brasília/DF;Kelly Kiyumi
189;./Mulheres Palestrantes_files/891f39aa823d65aed365e0b801a58af8.jpeg;São Paulo/SP;Krystal Campioni
190;./Mulheres Palestrantes_files/2b1fd1c.jpg;São Paulo/SP;Laís Carvalho
191;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAROAAAAJDdiM2Q2ZGMyLWY5NGUtNDUxOC1iZmRmLWE0MGEyNDdhOTE4Mg.jpg;São Paulo/SP;Lais de Lima
192;./Mulheres Palestrantes_files/55ea4b542e9aef1c4cfc45e30100b9a9;Belém/PA;Larissa Sá 
193;./Mulheres Palestrantes_files/placeholder-female.jpg;Brasilia/DF;Laura Gurgel
194;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAeOAAAAJDY0Yzc1ZDk4LTExYTItNGJkZS1hNWViLTAxZWQyYTllNjQwMw.jpg;São Paulo/SP;Laura Nobrega
195;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Letícia Passarelli Canova
